name,season,status,tv_network,ano
Archer,SEASON 7,Renewed for 3 additional seasons on 6/21/16,FX,2015
The Art of More,,Renewed for a 2nd season on 12/2,CRKL,2015
Ash vs. Evil Dead,,Renewed for a 2nd season on 10/28,STRZ,2015
The Awesomes,SEASON 3,Canceled 12/17,HULU,2015
Awkward,SEASON 5,Ending after this 2-part 5th season,MTV,2015
Baby Daddy,SEASON 5,,FREEF,2015
Ballers,SEASON 2 starts 7/17,,HBO,2015
Banshee,SEASON 4,Canceled 7/28; ends after this 4th season,MAX,2015
Baskets,,Renewed for a 2nd season on 2/23,FX,2015
The Bastard Executioner,,Canceled 11/18,FX,2015
Bates Motel,SEASON 4,Already renewed through S5,A&E,2015
Beowulf,,Scripted series,ESQ,2015
Being Mary Jane,SEASON 3,Renewed for a 4th season on 1/6,BET,2015
Benders,,Canceled 12/30,IFC,2015
Better Call Saul,SEASON 2,Renewed for a 3rd season on 3/15,AMC,2015
Billions,,Renewed for a 2nd season on 1/26,SHO,2015
Bitten,SEASON 3,Ending after this 3rd season,SYFY,2015
Black Jesus,SEASON 2,,ADSW,2015
Black Sails,SEASON 3,Renewed for a 4th season on 7/31/15,STRZ,2015
Bloodline,SEASON 2,Renewed for a 3rd season on 7/13/16,NETF,2015
Blunt Talk,,2nd season already ordered,STRZ,2015
BoJack Horseman,SEASON 2,Renewed for a 3rd season on 7/28,NETF,2015
Bosch,SEASON 2,Renewed for a 3rd season on 4/1,AMZN,2015
The Brink,SEASON 2,Canceled 10/27/15; 2nd season will not air,HBO,2015
Broad City,SEASON 3,Renewed for 2 additional seasons on 1/6,COM,2015
Brothers in Atlanta,starts  tbd,Series order rescinded on 1/22,HBO,2015
Call the Midwife,SEASON 5,,PBS,2015
Cassius and Clay,,Canceled 1/4/2016 before any eps aired,FXX,2015
Casual,,Renewed for a 2nd season on 10/21,HULU,2015
Catastrophe,SEASON 2,Renewed for 2 additional seasons on 7/12/16,AMZN,2015
The Characters,,,NETF,2015
Chasing Life,SEASON 2,Canceled 10/2,ABCF,2015
Chef's Table,SEASON 2,Renewed through S4 on 3/8,NETF,2015
Chelsea,,Renewed for 90 additional eps on 7/27/16,NETF,2015
Chelsea Does,,,NETF,2015
Childhood's End,,Miniseries,SYFY,2015
Childrens' Hospital,SEASON 7,Ending after this 7th season,ADSW,2015
The Chris Gethard Show,SEASON 2,,FUSN,2015
"The Circus: Inside The Greatest 
                Political Show on Earth",,Renewed 2/27/17,SHO,2015
Cleverman,,Renewed 6/2,SUND,2015
Codes of Conduct,starts  tbd,Miniseries; project canceled on 2/24,HBO,2015
Cold Justice: Sex Crimes,,,TNT,2015
Colony,,Renewed for a 2nd season on 2/4,USA,2015
Comedy Bang! Bang!,SEASON 4,Previously renewed for a 5th season,IFC,2015
Continuum,SEASON 4,Ending after this short 4th season,SYFY,2015
Cooked,,,NETF,2015
Da Vinci's Demons,SEASON 3,Ending after this 3rd season,STRZ,2015
The Daily Show With Trevor Noah,,,COM,2015
Damien,,Canceled 5/20,A&E,2015
Dark Net,,Renewed for a 2nd season on 3/16,SHO,2015
Deadbeat,SEASON 3,Canceled 6/6/16,HULU,2015
Debbie Macomber's Cedar Cove,SEASON 3,Canceled 11/12,HALL,2015
The Detour,,Renewed for a 2nd season on 4/6,TBS,2015
Dice,,Renewed for a 2nd season on 9/22/16,SHO,2015
Difficult People,,Renewed for a 2nd season on 8/27,HULU,2015
Doctor Who,SEASON 9,Renewed for a 10th season on 11/6,BBCA,2015
Documentary Now!,,Renewed for 2 additional seasons on 8/18,IFC,2015
Doll & Em,SEASON 2,,HBO,2015
Dominion,SEASON 2,Canceled 10/13,SYFY,2015
Donny!,,Canceled 8/3/16,USA,2015
Downton Abbey,SEASON 6,Ending after this 6th season,PBS,2015
Drunk History,SEASON 3,Renewed for a 4th season on 3/29,COM,2015
Episodes,SEASON 5 starts tbd,Delayed to 2017; ending after this 5th season,SHO,2015
The Expanse,,Renewed for a 2nd season on 12/31,SYFY,2015
F Is for Family,,Renewed for a 2nd season on 4/15,NETF,2015
Faking It,SEASON 3,Canceled 5/13,MTV,2015
Fargo,SEASON 2,Renewed for a 3rd season on 11/23,FX,2015
Fear the Walking Dead,,Previously renewed for a 2nd season,AMC,2015
Fear the Walking Dead,SEASON 2,Renewed for a 3rd season on 4/15,AMC,2015
Flaked,,Renewed for a 2nd season on 7/28/16,NETF,2015
Flesh & Bone,,Confirmed as a 1-season show prior to airing,STRZ,2015
Flowers,,Renewed for a 2nd season on 9/19/16,SEESO,2015
The Fosters,SEASON 3,Renewed for a 4th season on 11/30,FREEF,2015
From Dusk Till Dawn: The Series,SEASON 2,Renewed 10/26,ELREY,2015
Full Frontal with Samantha Bee,,Season extended on 4/4,TBS,2015
Fuller House,,Renewed for a 2nd season on 3/2,NETF,2015
Funny Or Die Presents America’s Next Weatherman,,,TBS,2015
Game of Thrones,SEASON 6,Renewed for a 7th season on 4/21,HBO,2015
Gamer's Guide to Pretty Much Everything,,Renewed 11/20,DISXD,2015
Getting On,SEASON 3,Ending after this 3rd season,HBO,2015
Gigi Does It,,Canceled 12/4,IFC,2015
The Girlfriend Experience,,Renewed for a 2nd season on 8/1/16,STRZ,2015
Girlfriends' Guide to Divorce,SEASON 2,Renewed through season 5 on 4/13,BRAV,2015
Girls,SEASON 5,Renewed for a 6th (final) season on 1/6,HBO,2015
Good Witch,SEASON 2,Renewed for a 3rd season on 6/2,HALL,2015
Grace and Frankie,SEASON 2,Renewed for a 3rd season on 12/10/15,NETF,2015
Grantchester,SEASON 2,,PBS,2015
Hand of God,,Renewed for a 2nd season on 12/18,AMZN,2015
Hap and Leonard,,Renewed for a 2nd season on 6/27/16,SUND,2015
Happy Valley,SEASON 2,,NETF,2015
Harvest,starts tbd 2016,Canceled 11/11/15 prior to production,SPIKE,2015
Haven,SEASON 5,Canceled 8/18,SYFY,2015
Hell on Wheels,SEASON 5 resumes 6/11,2-part final season wraps summer 2016,AMC,2015
Hemlock Grove,SEASON 3,Ending after this 3rd season,NETF,2015
Hindsight,SEASON 2,Canceled 8/28 before filming any of S2,VH1,2015
Homeland,SEASON 5,Renewed   on 12/9; extended thru S8 on 6/1/16,SHO,2015
Horace and Pete,,Available at LouisCK.net,(WEB),2015
Hotwives of Las Vegas,SEASON 2,,HULU,2015
House of Cards,SEASON 4,Renewed for a 5th season on 1/28,NETF,2015
House of Lies,SEASON 5,Canceled 5/17,SHO,2015
Hunters,,Canceled 7/8/16,SYFY,2015
Idiotsitter,,Renewed for a 2nd season on 6/13/16,COM,2015
Impastor,,Renewed for a 2nd season on 8/31,TVL,2015
Inside Amy Schumer,SEASON 4,Renewed for a 5th season on 1/6,COM,2015
Into the Badlands,,Renewed for a 2nd season on 3/8,AMC,2015
It's Always Sunny in Philadelphia,SEASON 11,Renewed through S14 on 4/1,FXX,2015
The Jim Gaffigan Show,,Renewed for a 2nd season on 8/31,TVL,2015
Julian Fellowes Presents Doctor Thorne,,,AMZN,2015
Kevin From Work,,Canceled 3/4,ABCF,2015
Key & Peele,SEASON 5,Ending after this 5th season,COM,2015
Kingdom,SEASON 2,Already renewed through S3,DIREC,2015
The Knick,SEASON 2,Canceled 3/23/17,MAX,2015
Lady Dynamite,,Renewed for a 2nd season on 7/27/16,NETF,2015
The Last Kingdom,,,BBCA,2015
The Last Panthers,,,SUND,2015
Last Week Tonight With John Oliver,SEASON 2,Returns on 2/14,HBO,2015
Last Week Tonight With John Oliver,SEASON 3,Previously renewed through S4,HBO,2015
The League,SEASON 7,Ending after this 7th season,FXX,2015
The Leftovers,SEASON 2,Renewed for a 3rd (final) season on 12/10,HBO,2015
Legends,SEASON 2,Canceled 12/15,TNT,2015
The Librarians,SEASON 2,Renewed for a 3rd season on 12/15,TNT,2015
London Spy,,Miniseries,BBCA,2015
Longmire,SEASON 4,Renewed for a 5th season on 10/30,NETF,2015
Lopez,,Renewed for a 2nd season on 6/3,TVL,2015
Lost Girl,SEASON 5.5,Final season,SYFY,2015
Love,,Previously renewed for a 2nd season,NETF,2015
Luther,SEASON 4,"""Season"" consists of one 3-hour special",BBCA,2015
Mad Dogs,,Canceled 2/28,AMZN,2015
The Magicians,,Renewed for a 2nd season on 2/8,SYFY,2015
Major Crimes,SEASON 4,Renewed for a 5th season on 11/15,TNT,2015
Making a Murderer,,Renewed for a 2nd season on 7/19/16,NETF,2015
The Man in the High Castle,,Renewed for a 2nd season on 12/18,AMZN,2015
Man Seeking Woman,SEASON 2,Renewed for a 3rd season on 4/12,FXX,2015
Manhattan,SEASON 2,Canceled 2/3,WGN,2015
Maron,SEASON 4,Canceled 7/11/16,IFC,2015
Marseille,,,NETF,2015
Marvel's Daredevil,SEASON 2,Renewed for a 3rd season on 7/21/16,NETF,2015
Marvel's Jessica Jones,,Renewed for a 2nd season on 1/17,NETF,2015
Married,SEASON 2,Canceled 10/26,FX,2015
Master of None,,Renewed for a 2nd season on 2/11,NETF,2015
Masters of Sex,SEASON 3,Renewed for a 4th season on 8/11,SHO,2015
Mercy Street,,Renewed for a 2nd season on 3/9,PBS,2015
The Mindy Project,SEASON 4,Renewed for a 5th season on 5/4,HULU,2015
Mike Tyson Mysteries,SEASON 2,,ADSW,2015
Moonbeam City,,Canceled 3/30,COM,2015
Motive,SEASON 3,Moving to USA from ABC,USA,2015
Mozart in the Jungle,SEASON 2,Renewed for a 3rd season on 2/9,AMZN,2015
Mr. Selfridge,SEASON 4,Ending after this 4th season,PBS,2015
Narcos,,Renewed for a 2nd season on 9/3,NETF,2015
Nathan For You,SEASON 3,Renewed for a 4th season on 12/10,COM,2015
The New Yorker Presents,,,AMZN,2015
The Night Manager,,Miniseries,AMC,2015
Not Safe with Nikki Glaser,,Canceled 11/14/16,COM,2015
The One Percent,starts  tbd,Delayed; likely won't air until 2016-17,STRZ,2015
Orange Is the New Black,SEASON 4 starts 6/17,Renewed for 3 additional seasons on 2/5,NETF,2015
Orphan Black,SEASON 4,Renewed for a 5th/final season on 6/16/16,BBCA,2015
Outlander,SEASON 2,Renewed for 2 additional seasons on 6/1,STRZ,2015
Outsiders,,Renewed for a 2nd season on 3/11,WGN,2015
The Path,,Renewed for a 2nd season on 5/4,HULU,2015
Peaky Blinders,SEASON 3,Renewed for 2 additional seasons (in the UK),NETF,2015
Penny Dreadful,SEASON 3,Canceled 6/20/16,SHO,2015
Playing House,SEASON 2,Renewed for a 3rd season on 1/14,USA,2015
Please Like Me,SEASON 3,Renewed for a 4th season on 7/6/16,PIVOT,2015
Portlandia,SEASON 6,Already renewed through S7,IFC,2015
Powers,SEASON 2,Canceled 8/3/16,PSN,2015
Preacher,,Renewed for a 2nd season on 6/29/16,AMC,2015
Prey,,,BBCA,2015
Project Greenlight,SEASON 4,Canceled 7/26/16,HBO,2015
Public Morals,,Canceled 12/15,TNT,2015
The Pursuit,starts tbd,Project canceled prior to production start,YHOO,2015
The Ranch,,Renewed for a 2nd season on 4/29,NETF,2015
Ray Donovan,SEASON 3,Renewed for a 4th season on 8/11,SHO,2015
Real Rob,,Renewed for a 2nd season on 7/27/16,NETF,2015
Rebellion,,Miniseries,SUND,2015
Recovery Road,,Canceled 5/13,FREEF,2015
Rectify,SEASON 3,Renewed for a 4th (final) season on 7/8,SUND,2015
Red Oaks,,Renewed for a 2nd season on 12/18,AMZN,2015
The Returned,SEASON 2,French version,SUND,2015
Review,SEASON 2,Renewed for 3rd and final season on 2/18,COM,2015
Rick and Morty,SEASON 2,Renewed for a 3rd season on 8/12,ADSW,2015
River,,,NETF,2015
Rogue,SEASON 3,Renewed for a 4th/final season on 8/1/16,DIREC,2015
Roots,,Miniseries,HIST,2015
Royal Pains,SEASON 8,Ending after this 8th season,USA,2015
The Royals,SEASON 2,Renewed for a 3rd season on 1/5,E!,2015
Saints & Strangers,,Scripted miniseries,NGC,2015
Satisfaction,SEASON 2,Canceled 2/26,USA,2015
Schitt's Creek,SEASON 2,Renewed for a 3rd season on 3/3,POP,2015
Scream,SEASON 2,Renewed for a 3rd season on 10/14/16,MTV,2015
Sex&Drugs&Rock&Roll,,Renewed for a 2nd season on 9/23,FX,2015
Sex&Drugs&Rock&Roll,SEASON 2 starts 6/30,,FX,2015
Shadowhunters,,Renewed for a 2nd season on 3/14,FREEF,2015
Shameless,SEASON 6,Renewed for a 7th season on 1/12,SHO,2015
The Shannara Chronicles,,Renewed for a 2nd season on 4/20,MTV,2015
Show Me a Hero,,Miniseries,HBO,2015
Silicon Valley,SEASON 3,Renewed for a 4th season on 4/21,HBO,2015
Slasher,,Chiller's first scripted series,CHIL,2015
The Soul Man,SEASON 5,Ending after this 5th season,TVL,2015
South of Hell,,,WE,2015
South Park,SEASON 19,Renewed through S23 on 7/8/15,COM,2015
The Spoils Before Dying,,Sequel to The Spoils of Babylon,IFC,2015
Spotless,,Renewed for a 2nd season on 4/6,ESQ,2015
Star Wars Rebels,SEASON 2,Renewed for a 3rd season on 11/30,DISXD,2015
Stitchers,SEASON 2,Renewed for a 3rd season on 10/6/16,FREEF,2015
The Strain,SEASON 2,Renewed for a 3rd season on 8/7,FX,2015
Strike Back,SEASON 4,Ending after this delayed 4th season,MAX,2015
Supermansion,,,CRKL,2015
Survivor's Remorse,SEASON 2,Renewed for a 3rd season on 9/2,STRZ,2015
Teachers,,Renewed for a 2nd season on 3/3,TVL,2015
Teen Wolf,SEASON 5,Renewed for a 6th season on 7/9/15,MTV,2015
Those Who Can't,,Renewed for a 2nd season on 12/2/15,TRU,2015
Time Traveling Bong,,Miniseries,COM,2015
Todd Margaret,SEASON 3,New title,IFC,2015
Togetherness,SEASON 2,Canceled 3/25,HBO,2015
Trailer Park Boys,SEASON 10,,NETF,2015
Transparent,SEASON 2,Already renewed through S3,AMZN,2015
Transporter: The Series,SEASON 2,,TNT,2015
TripTank,SEASON 2,,COM,2015
Turn: Washington's Spies,SEASON 3,Renewed for a final season on 7/26/16,AMC,2015
Tut,,Miniseries,SPIKE,2015
Unbreakable Kimmy Schmidt,SEASON 2,Renewed for a 3rd season 1/17,NETF,2015
Underground,,Renewed for a 2nd season on 4/25,WGN,2015
Unforgettable,SEASON 4,Moved from CBS for S4; canceled 2/16,A&E,2015
Untitled Halo series (Spielberg),starts tbd,Project delayed,SHO,2015
Utopia,,Project canceled in pre-production 8/8/15,HBO,2015
Veep,SEASON 5,Renewed for a 6th season on 4/21,HBO,2015
Vice,SEASON 4,Already renewed through S7,HBO,2015
Vicious,SEASON 2,,PBS,2015
Video Synchronicity,starts tbd,Delayed indefinitely,HBO,2015
Vikings,SEASON 4,Renewed for a 5th season on 3/17,HIST,2015
Vinyl,,Renewed for a 2nd season on 2/18,HBO,2015
The Walking Dead,SEASON 6,Renewed for a 7th season on 10/30,AMC,2015
Wallander,SEASON 4,Ending after this 4th season,PBS,2015
War & Peace,,Miniseries; also airs on A&E and History,LIFE,2015
Wet Hot American Summer,,Limited series based on the 2001 film,NETF,2015
When Calls The Heart,SEASON 3,,HALL,2015
Why? With Hannibal Buress,,,COM,2015
With Bob and David,,Mr. Show reunion series,NETF,2015
Workaholics,SEASON 6,Already renewed through S7,COM,2015
Wynonna Earp,,Renewed for a 2nd season on 7/23/16,SYFY,2015
Young & Hungry,SEASON 3,Renewed for a 4th season on 3/7,FREEF,2015
Younger,SEASON 2,Renewed for a 3rd season on 1/6,TVL,2015
You're the Worst,SEASON 2,Renewed for a 3rd season on 12/2,FXX,2015
Z Nation,SEASON 2,Renewed for a 3rd season on 11/6,SYFY,2015
20/20,SEASON 39,Renewed 9/16,ABC,2016
"$100,000 Pyramid",,Renewed 8/4,ABC,2016
America's Funniest Home Videos,SEASON 27,Renewed 9/16,ABC,2016
American Crime,SEASON 3,Canceled 5/11,ABC,2016
American Housewife,,Renewed for a 2nd season on 5/11,ABC,2016
The Bachelor,SEASON 21,Renewed 5/12,ABC,2016
Bachelor in Paradise,SEASON 3,,ABC,2016
The Bachelorette,SEASON 12,,ABC,2016
The Bachelorette,SEASON 13,Renewed for a 14th season on 5/16,ABC,2016
BattleBots,SEASON 7,,ABC,2016
Black-ish,SEASON 3,Renewed for a 4th season on 5/11,ABC,2016
Boston EMS,SEASON 2,,ABC,2016
The Catch,SEASON 2,Canceled 5/11,ABC,2016
Celebrity Family Feud,SEASON 3,Renewed 8/4,ABC,2016
Conviction,,Canceled 11/8 (1st cancellation of fall),ABC,2016
Dancing with the Stars,SEASON 23,,ABC,2016
Dancing with the Stars,SEASON 24,Renewed 5/12,ABC,2016
Designated Survivor,,Renewed for a 2nd season on 5/11,ABC,2016
Downward Dog,,Delayed to summer,ABC,2016
Dr. Ken,SEASON 2,Canceled 5/11,ABC,2016
Fresh Off the Boat,SEASON 3,Renewed for a 4th season on 5/12,ABC,2016
The Goldbergs,SEASON 4,Renewed through S6 on 5/11,ABC,2016
The Great American Baking Show,SEASON 2,,ABC,2016
The Great Christmas Light Fight,SEASON 4,,ABC,2016
Greatest Hits,,,ABC,2016
Grey's Anatomy,SEASON 13,Renewed for a 14th season on 2/10,ABC,2016
How to Get Away With Murder,SEASON 3,Renewed for a 4th season on 2/10,ABC,2016
Imaginary Mary,,Canceled 5/11,ABC,2016
Last Man Standing,SEASON 6,Canceled 5/10,ABC,2016
The Match Game,,Renewed 8/4,ABC,2016
Marvel's Agents of S.H.I.E.L.D.,SEASON 4,Renewed for a 5th season on 5/11,ABC,2016
The Middle,SEASON 8,Renewed for a 9th season on 1/25,ABC,2016
Mistresses,SEASON 4,Canceled 9/10,ABC,2016
Modern Family,SEASON 8,Renewed through S10 on 5/10,ABC,2016
Notorious,,Canceled 5/12,ABC,2016
Once Upon a Time,SEASON 6,Renewed for a 7th season on 5/11,ABC,2016
People Icons,,,ABC,2016
Quantico,SEASON 2,Renewed for a 3rd season on 5/15,ABC,2016
The Real O'Neals,SEASON 2,Canceled 5/11,ABC,2016
Scandal,SEASON 6,Renewed for a 7th (final) season on 2/10,ABC,2016
Secrets & Lies,SEASON 2,Canceled 5/11,ABC,2016
Shark Tank,SEASON 8,Renewed 5/12,ABC,2016
Speechless,,Renewed for a 2nd season on 5/12,ABC,2016
Still Star-Crossed,,Postponed to summer,ABC,2016
Time After Time,,Pulled from schedule on 3/29 after 5 episodes,ABC,2016
To Tell the Truth,,New version of classic game show,ABC,2016
The Toy Box,,Renewed for a 2nd season on 6/15,ABC,2016
Uncle Buck,,Canceled 7/6,ABC,2016
When We Rise,,Miniseries,ABC,2016
2 Broke Girls,SEASON 6,Canceled 5/12,CBS,2016
48 Hours,SEASON 29,Renewed 3/23,CBS,2016
60 Minutes,SEASON 49,Renewed 3/23,CBS,2016
The Amazing Race,SEASON 29,Renewed 5/13,CBS,2016
American Gothic,,Canceled 10/17,CBS,2016
The Big Bang Theory,SEASON 10,Renewed through S12 on 3/20,CBS,2016
Big Brother,SEASON 18,Renewed through S20 on 8/10,CBS,2016
Big Brother: Over the Top,,Rare fall season airs exclusively on CBS All Access,CBS,2016
Blue Bloods,SEASON 7,Renewed 3/23,CBS,2016
Bull,,Renewed 3/23,CBS,2016
BrainDead,,Canceled 10/17,CBS,2016
The Case Of: JonBenet Ramsey,,Miniseries (fka Case Closed),CBS,2016
Code Black,SEASON 2,Renewed for a 3rd season on 5/14,CBS,2016
Criminal Minds,SEASON 12,Renewed for a 13th season on 4/7,CBS,2016
Criminal Minds: Beyond Borders,SN. 2,Canceled 5/14,CBS,2016
Doubt,,Canceled 2/24 after 2 eps aired,CBS,2016
Elementary,SEASON 5,Renewed for a 6th season on 5/13,CBS,2016
The Good Fight,,CBS All Access; renewed for a 2nd season on 3/15,CBS,2016
The Great Indoors,,Canceled 5/13,CBS,2016
Hawaii Five-0,SEASON 7,Renewed 3/23,CBS,2016
Hunted,,,CBS,2016
Kevin Can Wait,,Renewed 3/23,CBS,2016
Life in Pieces,SEASON 2,Renewed 3/23,CBS,2016
MacGyver,,Renewed 3/23,CBS,2016
Madam Secretary,SEASON 3,Renewed 3/23,CBS,2016
Man With a Plan,,Renewed 3/23,CBS,2016
Mom,SEASON 4,Renewed 3/23,CBS,2016
NCIS,SEASON 14,Previously  renewed through season 15,CBS,2016
NCIS: Los Angeles,SEASON 8,Renewed 3/23,CBS,2016
NCIS: New Orleans,SEASON 3,Renewed 3/23,CBS,2016
The Odd Couple,SEASON 3,Canceled 5/15,CBS,2016
Pure Genius,,Canceled 5/17,CBS,2016
Ransom,,Canceled 5/17; uncanceled and renewed on 10/10/17,CBS,2016
Scorpion,SEASON 3,Renewed 3/23,CBS,2016
Superior Donuts,,Renewed 3/23,CBS,2016
Survivor,SEASON 33,,CBS,2016
Survivor,SEASON 34,Renewed 3/23,CBS,2016
Training Day,,Canceled 5/17,CBS,2016
Undercover Boss,SEASON 8,,CBS,2016
Zoo,SEASON 2,Renewed for a 3rd season on 8/10,CBS,2016
The 100,SEASON 4,Renewed for a 5th season on 3/10,The CW,2016
Arrow,SEASON 5,Renewed for a 6th season on 1/8,The CW,2016
Beauty and the Beast,SEASON 4,Ending after this 4th season,The CW,2016
Crazy Ex-Girlfriend,SEASON 2,Renewed for a 3rd season on 1/8,The CW,2016
DC's Legends of Tomorrow,SEASON 2,Renewed for a 3rd season on 1/8,The CW,2016
The Flash,SEASON 3,Renewed for a 4th season on 1/8,The CW,2016
Frequency,,Canceled 5/8,The CW,2016
iZombie,SEASON 3,Renewed for a 4th season on 5/10,The CW,2016
Jane the Virgin,SEASON 3,Renewed for a 4th season on 1/8,The CW,2016
MADtv,SEASON 15,Last aired on Fox in 2009,The CW,2016
Masters of Illusion,SEASON 3,Renewed 10/24,The CW,2016
No Tomorrow,,Canceled 5/8,The CW,2016
The Originals,SEASON 4,Renewed for a 5th season on 5/10,The CW,2016
Penn & Teller: Fool Us,SEASON 3,Renewed 10/24,The CW,2016
Reign,SEASON 4,Canceled 12/7; will end after this 4th season,The CW,2016
Riverdale,,Renewed for a 2nd season on 3/7,The CW,2016
Supergirl,SEASON 2,Renewed for a 3rd season on 1/8,The CW,2016
Supernatural,SEASON 12,Renewed for a 13th season on 1/8,The CW,2016
The Vampire Diaries,SEASON 8,Ending after this 8th season,The CW,2016
Whose Line Is It Anyway,SEASON 12,Renewed 10/24,The CW,2016
24: Legacy,,Canceled 6/7,Fox,2016
APB,,Canceled 5/11,Fox,2016
Beat Shazam,,,Fox,2016
Bob's Burgers,SEASON 7,Previously renewed through S8,Fox,2016
Bones,SEASON 12,Ending after this 12th season,Fox,2016
Brooklyn Nine-Nine,SEASON 4,Renewed for a 5th season on 5/12,Fox,2016
Coupled,,Canceled 8/9,Fox,2016
Empire,SEASON 3,Renewed for a 4th season on 1/11,Fox,2016
The Exorcist,,Renewed for a 2nd season on 5/12,Fox,2016
The F Word With Gordon Ramsay,,,Fox,2016
Family Guy,SEASON 15,,Fox,2016
Gotham,SEASON 3,Renewed for a 4th season on 5/10,Fox,2016
Hell's Kitchen,SEASON 16,Renewed through S18 on 9/9,Fox,2016
Home Free,SEASON 2,,Fox,2016
Hotel Hell,SEASON 3,,Fox,2016
Kicking and Screaming,,,Fox,2016
The Last Man on Earth,SEASON 3,Renewed for a 4th season on 5/10,Fox,2016
Lethal Weapon,,Renewed for a 2nd season on 2/22,Fox,2016
Love Connection,,Revival of the classic dating  show,Fox,2016
Lucifer,SEASON 2,Renewed for a 3rd season on 2/13,Fox,2016
Making History,,Canceled 5/11,Fox,2016
MasterChef,SEASON 7,8th season announced 2/16,Fox,2016
MasterChef,SEASON 8,,Fox,2016
MasterChef Junior,SEASON 5,Renewed 5/15,Fox,2016
The Mick,,Renewed for a 2nd season on 2/21,Fox,2016
My Kitchen Rules,,,Fox,2016
New Girl,SEASON 6,Renewed for a 7th (final) season on 5/14,Fox,2016
Pitch,,Canceled 5/1,Fox,2016
Prison Break,SEASON 5,Miniseries revival,Fox,2016
Rosewood,SEASON 2,Canceled 5/9,Fox,2016
Scream Queens,SEASON 2,Canceled 5/15,Fox,2016
Shots Fired,,Not on Fox's 2017-18 sched; presumed done,Fox,2016
The Simpsons,SEASON 28,Renewed through S30 on 11/4,Fox,2016
Sleepy Hollow,SEASON 4,Canceled 5/9,Fox,2016
So You Think You Can Dance,SEASON 13,Renewed for a 14th season on 1/30,Fox,2016
Son of Zorn,,Canceled 5/11,Fox,2016
Star,,Renewed for a 2nd season on 2/22,Fox,2016
Wayward Pines,SEASON 2,"Won't be back in 2017, but could return in 2018",Fox,2016
You the Jury,,Canceled 5/1 after 2 episodes aired,Fox,2016
America's Got Talent,SEASON 11,Renewed for a 12th season on 8/2,NBC,2016
America's Got Talent,SEASON 12,,NBC,2016
American Ninja Warrior,SEASON 8,Renewed 9/12,NBC,2016
The Apprentice,SEASON 15,Presumed canceled 5/14,NBC,2016
Aquarius,SEASON 2,Canceled 10/1,NBC,2016
Better Late Than Never,,Renewed for a 2nd season on 9/22,NBC,2016
The Blacklist,SEASON 4,Renewed 5/11,NBC,2016
The Blacklist: Redemption,,Canceled 5/12,NBC,2016
Blindspot,SEASON 2,Renewed for a 3rd season on 5/10,NBC,2016
Caught on Camera with Nick Cannon,SEASON 3,Presumed canceled 5/14,NBC,2016
The Carmichael Show,SEASON 3,,NBC,2016
Chicago Fire,SEASON 5,Renewed 5/10,NBC,2016
Chicago Justice,,Canceled 5/23,NBC,2016
Chicago Med,SEASON 2,Renewed 5/10,NBC,2016
Chicago PD,SEASON 4,Renewed 5/10,NBC,2016
Dateline NBC,SEASON 26,Renewed 5/14,NBC,2016
Emerald City,,Canceled 5/4,NBC,2016
First Dates,,Presumed canceled 5/14,NBC,2016
The Good Place,,Renewed for a 2nd season on 1/30,NBC,2016
Great News,,Renewed for a 2nd season on 5/11,NBC,2016
Grimm,SEASON 6,Canceled 8/29; 6th season will still air,NBC,2016
Law & Order: SVU,SEASON 18,Renewed for a 19th season on 5/12,NBC,2016
Little Big Shots,SEASON 2,,NBC,2016
Maya and Marty,,Presumed canceled 5/14,NBC,2016
The Night Shift,SEASON 3,Renewed for a 4th season on 11/17,NBC,2016
Patient Zero,,Project canceled 11/10/16 prior to filming,NBC,2016
Powerless,,Pulled 4/25; officially canceled 5/11,NBC,2016
QuizUp,,Project canceled prior to production,NBC,2016
Running Wild with Bear Grylls,SEASON 3,,NBC,2016
Shades of Blue,SEASON 2,Renewed for a 3rd season on 3/17,NBC,2016
Spartan: Ultimate Team Challenge,,,NBC,2016
S.T.R.O.N.G.,,Presumed canceled 5/14,NBC,2016
Superstore,SEASON 2,Renewed for a 3rd season on 2/14,NBC,2016
Taken,,Renewed for a 2nd season on 5/9,NBC,2016
This Is Us,,Renewed through S3 on 1/18,NBC,2016
Timeless,,Canceled 5/10; uncanceled 5/13,NBC,2016
Trial & Error,,Renewed 5/20,NBC,2016
The Voice,SEASON 11,Renewed through S13 on 10/18,NBC,2016
The Voice,SEASON 12,Renewed through S14 on 5/11,NBC,2016
The Wall,,Renewed 5/14,NBC,2016
World of Dance,,,NBC,2016
Animals,SEASON 2,Renewed for a 3rd season on 5/19,HBO,2016
Any Given Wednesday with Bill Simmons,,Canceled 11/4,HBO,2016
Ballers,SEASON 2,Renewed for a 3rd season on 7/28,HBO,2016
Big Little Lies,,Miniseries; could return for a 2nd season,HBO,2016
Crashing,,Renewed for a 2nd season on 3/15,HBO,2016
Divorce,,Renewed for a 2nd season on 11/14,HBO,2016
Girls,SEASON 6,Ending after this 6th season,HBO,2016
Hard Knocks,SEASON 11,,HBO,2016
High Maintenance,SEASON 7,1st season on HBO; renewed 9/28,HBO,2016
Insecure,,Renewed for a 2nd season on 11/14,HBO,2016
Last Week Tonight With John Oliver,SEASON 3,,HBO,2016
Last Week Tonight With John Oliver,SEASON 4,,HBO,2016
The Leftovers,SEASON 3,Ending after this 3rd season,HBO,2016
The Night Of,,Miniseries [fka Criminal Justice],HBO,2016
